gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
TMEM191B,2,7,7,3,4,6,1,0.8571428571428571,1.0,0.8887859603061582,0.9886515809773467,1.018424420831858,1.4190501856961946,1.576678109076549,norman;sciplex3
CTD-2020K17.1,2,7,7,0,7,6,1,0.8571428571428571,1.0,0.7105519875540756,0.8174174838910511,0.8534134701754527,1.6936918451408804,1.3212157023077125,adamson;norman
ARL15,2,7,7,6,1,1,6,0.8571428571428571,1.0,-0.5914260714246039,-0.5948903652774851,0.8211255094026634,1.9410456158543083,1.2712289581803502,norman;replogle
AL110292.1,2,104,104,104,0,15,89,0.8557692307692307,1.0,-0.4668566568363748,-0.6219336809931144,0.8904708291815892,3.1524870784163035,3.0804442285719786,replogle;sciplex3
REXO5,2,90,90,90,0,13,77,0.8555555555555555,1.0,-0.5127248480398139,-0.6128273956653886,1.040926459853971,3.72768586406297,3.4893286140810362,replogle;sciplex3
BTBD10,2,69,69,69,0,10,59,0.855072463768116,1.0,-0.6769146189339991,-0.6760865032442658,0.8326768310305955,3.6151483996654323,2.6274160273939198,replogle;sciplex3
SLC35B3,2,62,62,62,0,9,53,0.8548387096774194,1.0,-1.288859348846415,-0.812673351684782,1.4545378310230483,3.0624503387663933,4.474582958191088,replogle;sciplex3
FAM98C,2,48,48,48,0,7,41,0.8541666666666666,1.0,-0.8790749232312769,-0.6477066151564044,1.0575755688574142,3.444830299571007,3.0536630547285752,replogle;sciplex3
SNX10,2,82,82,82,0,12,70,0.8536585365853658,1.0,-0.86184672272912,-0.6675979145220828,1.0672958709361948,3.081618243966884,3.4969680165804027,replogle;sciplex3
GON7,2,41,41,41,0,6,35,0.8536585365853658,1.0,-1.238856420000959,-1.6250366589778193,1.8217373818175808,2.9520476210408257,5.048765216167566,replogle;sciplex3
RBM48,2,41,41,41,0,6,35,0.8536585365853658,1.0,-1.3599889697074694,-0.9510700246132138,1.5539538348840711,3.142198297264873,4.306629565489428,replogle;sciplex3
SETD1B,2,41,41,41,0,6,35,0.8536585365853658,1.0,-0.8315376587572972,-0.6800537650789418,0.9660535370678944,4.0257186790130985,2.6773219584689976,replogle;sciplex3
GPSM2,2,41,41,41,0,6,35,0.8536585365853658,1.0,-0.6732459829438304,-0.6294453186183786,0.7910320819157438,3.4155537266962828,2.192267282819984,replogle;sciplex3
CRAMP1,2,68,68,68,0,10,58,0.8529411764705882,1.0,-0.7494446694316441,-0.6168958950169012,0.9221725931900713,3.259313951224964,2.892726517660059,replogle;sciplex3
RRP8,2,34,34,34,0,5,29,0.8529411764705882,1.0,-1.5741325546301985,-2.4723638336470786,2.0098578387181147,2.8044881150407965,5.29396238888794,replogle;sciplex3
TLE3,2,34,34,34,0,5,29,0.8529411764705882,1.0,-0.8964110823546457,-0.6014077253427328,1.0651339806170594,3.653693808209334,2.8055612311911657,replogle;sciplex3
TMEM65,2,34,34,31,3,5,29,0.8529411764705882,1.0,-0.43785220424428856,-0.5990669156622923,0.687648777927164,1.723096028827766,1.8112658004871611,norman;replogle
